Date,Value
2025-07-09,10301.053032738557
2025-07-10,10400.849571387836
2025-07-11,10387.929849802802
2025-07-14,10311.338642810697
2025-07-15,10186.238655196188
2025-07-16,10262.491410609056
2025-07-17,10306.580156663424
2025-07-18,10322.246045470603
2025-07-21,10390.890081079213
2025-07-22,10487.141363731249
2025-07-23,10526.417266017495
2025-07-24,10567.832752995526
2025-07-25,10573.74675639939
2025-07-28,10574.384109687278
2025-07-29,10607.943441950081
2025-07-30,10629.105867693845
2025-07-31,10529.136369386952
2025-08-01,10393.745370479277
2025-08-04,10567.465745262758
2025-08-05,10528.693806773377
2025-08-06,10526.440029444968
2025-08-07,10600.712908087653
2025-08-08,10678.263331902925
2025-08-11,10653.55039358335
2025-08-12,10716.781252965628
2025-08-13,10809.400418067675
2025-08-14,10811.82989400811
2025-08-15,11025.966524506359
2025-08-18,11072.928515212852
2025-08-19,11082.744571412204
2025-08-20,11099.305455297306
2025-08-21,11097.258193286087
2025-08-22,11287.766341600865
2025-08-25,11189.870851467858
2025-08-26,11202.28798418942
2025-08-27,11292.910315551902
2025-08-28,11250.76781866637
2025-08-29,11293.174336164415
2025-09-02,11227.226937009666
2025-09-03,11297.974678380826
2025-09-04,11336.821648217907
2025-09-05,11260.408375757148
2025-09-08,11190.23420853644
2025-09-09,11521.221523540224
2025-09-10,11526.433587143216
2025-09-11,11618.93961959665
2025-09-12,11577.87820130228
2025-09-15,11620.07708044165
2025-09-16,11519.653431256374
2025-09-17,11579.56840251682
2025-09-18,11522.27264874438
2025-09-19,11668.798467005043
2025-09-22,11727.198806063492
2025-09-23,11743.817290097764
2025-09-24,11751.397100934408
2025-09-25,11753.594221539219
2025-09-26,11844.196432428698
2025-09-29,11809.630300834775
2025-09-30,11859.5160196562
2025-10-01,12059.12215623118
2025-10-02,12008.921125476494
2025-10-03,12072.138555939298
2025-10-06,12127.09627081986
2025-10-07,12145.673388237195
2025-10-08,12199.788880993317
2025-10-09,12118.805245337087
2025-10-10,11931.138179504984
2025-10-13,12033.39481655247
2025-10-14,12050.90739522097
2025-10-15,12116.804679473446
2025-10-16,12049.168886857673
2025-10-17,12079.630191159615
2025-10-20,12245.624096314508
2025-10-21,12123.311885759667
2025-10-22,12197.142662152612
2025-10-23,12309.265575770298
2025-10-24,12354.56215223647
2025-10-27,12452.121390633492
2025-10-28,12420.424147909509
2025-10-29,12580.775619751792
2025-10-30,12536.402896564512
2025-10-31,12510.511880390452
2025-11-03,12499.247504433031
2025-11-04,12372.144710169561
2025-11-05,12329.549509942606
2025-11-06,12319.640790277259
2025-11-07,12339.307287058069
2025-11-10,12435.32081200606
2025-11-11,12592.70887189712
2025-11-12,12630.569881774842
2025-11-13,12416.287636896832
2025-11-14,12465.098355764423
2025-11-17,12402.64115971231
2025-11-18,12385.107489413065
2025-11-19,12381.054001847915
2025-11-20,12291.406641952457
2025-11-21,12411.434916722454
2025-11-24,12682.031808320326
2025-11-25,12802.032532681798
2025-11-26,12850.129434091437
2025-11-28,12953.450416795748
2025-12-01,12865.728037411762
2025-12-02,12870.639638908553
2025-12-03,13037.17032339403
2025-12-04,13033.92726528467
2025-12-05,12989.117759426628
2025-12-08,12988.088735018955
2025-12-09,12961.237021659574
2025-12-10,13086.52106714801
2025-12-11,13137.351733969754
2025-12-12,12985.093012183404
2025-12-15,12947.77367788378
2025-12-16,12756.112069073011
2025-12-17,12780.192619483578
2025-12-18,12764.26159921765
2025-12-19,12668.24461289729
2025-12-22,12733.394023115225
2025-12-23,12838.787324468258
2025-12-24,12887.166157978345
2025-12-26,12889.357528225404
2025-12-29,12871.450836358834
2025-12-30,12876.864608563315
2025-12-31,12808.56624867477
2026-01-02,13008.595833573638
2026-01-05,13345.143314873101
2026-01-06,13148.03785792472
2026-01-07,12945.762924459863
2026-01-08,13048.68200726355
2026-01-09,13115.948668665256
2026-01-12,13116.093989533396
2026-01-13,13140.83005441085
2026-01-14,13177.445999688345
2026-01-15,13233.85727112152
2026-01-16,13228.924257116227
2026-01-20,13062.292472620908
2026-01-21,13228.772992930933
2026-01-22,13343.964075131857
2026-01-23,13326.45227809327
2026-01-26,13362.653883707448
2026-01-27,12865.493298147263
2026-01-28,12784.971520530942
2026-01-29,12650.053732006529
2026-01-30,12728.483670305632
2026-02-02,12724.465462785545
2026-02-03,12816.393648695814
2026-02-04,12889.855630190788
2026-02-05,12818.366815917421
2026-02-06,12845.786237825103
2026-02-09,12824.075452966461
2026-02-10,12834.259975350475
2026-02-11,12926.410275808705
2026-02-12,12750.84322706715
2026-02-13,12934.233525471662
2026-02-17,12914.898494276547
2026-02-18,12850.112026798035
2026-02-19,12892.246876492753
2026-02-20,12911.73425508279
2026-02-23,12770.294372706485
2026-02-24,12853.62838790994
2026-02-25,12915.251168803405
2026-02-26,12858.53590797451
2026-02-27,12920.125176101521
2026-03-02,12997.276777457073
2026-03-03,12967.13110960676
2026-03-04,12916.546025775559
2026-03-05,12879.418485192817
2026-03-06,12794.4594365466
2026-03-09,12736.060210309915
2026-03-10,12644.947579159803
2026-03-11,12737.69035009027
2026-03-12,12667.180819603176
2026-03-13,12632.011509556089
2026-03-16,12702.630434215243
2026-03-17,12669.780284980092
2026-03-18,12582.03260474775
2026-03-19,12644.403695406514
2026-03-20,12582.247194946045
2026-03-23,12648.100335239225
2026-03-24,12779.48981122211
2026-03-25,12827.68768915231
2026-03-26,12846.395300616747
2026-03-27,12765.284033906688
2026-03-30,12792.642930763812
2026-03-31,12990.803568690888
2026-04-01,12930.91366584243
2026-04-02,12964.283251206562
2026-04-06,12958.352997820753
2026-04-07,13343.720234029835
2026-04-08,13468.149751234085
2026-04-09,13548.810178107056
2026-04-10,13484.073839967436
2026-04-13,13543.006309436809
2026-04-14,13661.06964410094
2026-04-15,13691.021918167118
2026-04-16,13675.731359722517
2026-04-17,13671.942900190914
2026-04-20,13636.25237805182
2026-04-21,13678.149752606018
2026-04-22,13794.736891258195
2026-04-23,13863.16406743884
2026-04-24,13823.513440699819
2026-04-27,13960.823481576872
2026-04-28,14079.22717367995
2026-04-29,14035.760329924828
2026-04-30,14158.91612916309
2026-05-01,14065.292768241427
2026-05-04,13939.894846811674
2026-05-05,14097.872180294424
2026-05-06,13994.902183841114
2026-05-07,13895.648490618973
2026-05-08,13905.350529613426
2026-05-11,13985.789637722897
2026-05-12,14097.160750687259
2026-05-13,14253.633047744372
2026-05-14,14446.618555479661
2026-05-15,14310.039571695583
2026-05-18,14322.609818195004
2026-05-19,14399.172001718376
2026-05-20,14337.441790919353
2026-05-21,14383.482687579539
2026-05-22,14443.090762337202
2026-05-26,14395.42270847829
2026-05-27,14320.934585323075
2026-05-28,14322.00124918875
2026-05-29,14368.81087846259
2026-06-01,14224.494541858421
2026-06-02,14170.107379495324
2026-06-03,14081.698807049326
2026-06-04,14260.61531151978
2026-06-05,13918.5132377475
2026-06-08,13943.661543779555
